message_id,group_id,username,message,status,reason,summary,media_url,group_rules,timestamp,initial_status,initial_reason,detected_language,language_confidence,translated_message,appeal_status,appeal_text,appeal_ai_status,appeal_ai_reason,appeal_submitted_at,appeal_reviewed_by,appeal_reviewed_at,appeal_admin_note
cee60d5c-4138-41eb-bf5c-2189cff7d024,273A57,soham,"Hello everyone, welcome to the group!",FLAGGED,Non‑educational content (greeting),,,,2026-02-21 12:57:20,,,,,,,,,,,,,
fbcea085-cf99-4783-9cfc-29aa49d80dc5,273A57,soham,Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.,PASS,,,,,2026-02-21 12:57:51,,,,,,,,,,,,,
a4757121-4342-4f0d-bac8-ba8d55f5f839,994055,sohamjadhav95,Todays meting is postponed,PASS,,,,,2026-02-21 13:05:58,,,,,,,,,,,,,
cb2da1ca-1f57-4e75-b7d1-b3fd223c5fda,994055,sohamjadhav95,GO to hell,FLAGGED,Disrespectful language (insult),,,,2026-02-21 13:06:20,,,,,,,,,,,,,
13405861-10e3-4ebb-9a99-574c16165e75,273A57,sohamjadhav95,Hello students lets get to dinner this night,FLAGGED,Non-educational content (invitation to dinner),,,,2026-02-21 13:09:38,,,,,,,,,,,,,
8da228a0-56e4-4e98-8304-140c8c4d6cca,273A57,sohamjadhav95,Todays science class is canclled,PASS,,,,,2026-02-21 13:10:15,,,,,,,,,,,,,
6dbf3c86-cece-473c-923d-8d017f077132,273A57,sohamjadhav95,Greet everyone good morning,FLAGGED,"Moderation Error: Error code: 401 - {'error': {'message': 'User not found.', 'code': 401}}",,,,2026-02-21 13:14:50,,,,,,,,,,,,,
fb41703f-e62d-411a-888b-73fb8d29a6b6,273A57,sohamjadhav95,sir will come tomorrow,FLAGGED,"Moderation Error: Error code: 401 - {'error': {'message': 'User not found.', 'code': 401}}",,,,2026-02-21 13:15:02,,,,,,,,,,,,,
34c9055d-4a8e-44b1-a370-4074148cec9a,273A57,sohamjadhav95,LLMs are halucinating while testing,FLAGGED,"Moderation Error: Error code: 401 - {'error': {'message': 'User not found.', 'code': 401}}",,,,2026-02-21 13:15:26,,,,,,,,,,,,,
17499bdb-9765-4e9c-9458-9d8f56e3910a,994055,sohamjadhav95,Boss is on the way will reach in 5 minutes,FLAGGED,"Moderation Error: Error code: 401 - {'error': {'message': 'User not found.', 'code': 401}}",,,,2026-02-21 13:15:58,,,,,,,,,,,,,
3f393c7e-5649-4687-b8eb-b9d54716b0b2,273A57,sohamjadhav95,Hello students greet to everyone,PASS,,,,,2026-02-21 13:18:37,,,,,,,,,,,,,
68198958-125e-458f-b1b2-85f5c88242bd,273A57,sohamjadhav95,we are going to make fun,FLAGGED,Not educational content.,,,,2026-02-21 13:19:01,,,,,,,,,,,,,
adfd8962-59db-4249-9cbe-068d63353f0f,CC832A,testuser33,"Hello team, the meeting is at 3pm",FLAGGED,"Moderation Error: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'openai/gpt-oss-120b:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'OpenInference', 'is_byok': False}}, 'user_id': 'user_39pXoHe4Yocx6gUAkJdroR6Rvom'}",,,,2026-02-21 19:47:41,,,,,,,,,,,,,
271679e3-d139-4bd7-852e-93c2c62a0948,CC832A,testuser33,[IMAGE] (no description),FLAGGED,Image could not be analyzed. Upload blocked for safety.,,,,2026-02-21 19:49:39,,,,,,,,,,,,,
6c80095b-1a6e-47e8-a314-c702f5c67b16,994055,sohamjadhav95,who is the incharge of todays discussion,PASS,,,,,2026-02-21 19:53:14,,,,,,,,,,,,,
ddde2afe-f699-4af1-89d1-08f1d272f692,273A57,sohamjadhav95,"[IMAGE] The image displays a close-up of a weathered, stone relief carving featuring stylized figures and intricate patterns. Visible text reads ""Mural Paintings of Rajasthan"" in white lettering at the top, with additional text below detailing information about the artwork and its origin. The tone is historical and artistic, likely showcasing traditional Rajasthani art.",PASS,,,,,2026-02-21 19:53:58,,,,,,,,,,,,,
989f55c3-0737-4824-a218-818abfde4385,994055,sohamjadhav95,"[IMAGE] The image is a flowchart illustrating the processes of ""Trying out a LLM"" and ""Enhancing the LLM."" It details sequential steps for each process, including initializing environments, downloading/training models, and data preparation, with decision points and feedback loops indicated by arrows and a diamond shape labeled ""Model accurate?"". The overall tone is technical and instructional, outlining a workflow for working with and improving Large Language Models.",PASS,,,,,2026-02-21 19:58:05,,,,,,,,,,,,,
033e18d6-f0e7-40bf-aaf4-9e2d2a0d8647,D42174,imgtest99,This is a professional message for testing.,PASS,,,,,2026-02-21 20:10:01,,,,,,,,,,,,,
13f665c2-7cea-405a-89bd-b49577ac5b13,D42174,imgtest99,[IMAGE],PASS,,"The image is a flowchart illustrating the processes of ""Trying out a LLM"" and ""Enhancing the LLM."" It details sequential steps for each process, including initializing environments, downloading/training models, and data preparation/validation, with decision points and feedback loops indicated by arrows and a diamond shape labeled ""Model accurate?"". The overall tone is technical and instructional, outlining a workflow for working with and improving Large Language Models.",,,2026-02-21 20:10:48,,,,,,,,,,,,,
276debf2-4bad-4b71-823d-6edaac82cc12,40AB66,persisttest,[IMAGE],PASS,,"The image displays a solid blue background with the word ""TEST"" prominently centered in white capital letters. There are no people or objects other than the text itself. The overall tone is simple and direct, suggesting a verification or evaluation process.",/media/image/9c41db70-4084-4bb4-84e5-19ba6d665783.png,,2026-02-21 20:25:51,,,,,,,,,,,,,
e6c36979-19b3-4425-9188-2afa55c2ea1b,40AB66,persisttest,[IMAGE],FLAGGED,Image could not be analyzed. Upload blocked for safety.,,/media/image/01b1e3de-3e73-4f82-8662-0f32c65c933b.png,,2026-02-21 20:29:38,,,,,,,,,,,,,
f582f98b-7d08-4c2c-b4a2-6d0d9e2ec284,40AB66,persisttest,[IMAGE],FLAGGED,Image could not be analyzed. Upload blocked for safety.,,/media/image/51ab3ad1-a0c0-4293-8a2e-c6e1ea5412e1.png,,2026-02-21 20:31:02,,,,,,,,,,,,,
95a6d40c-e6e4-4c65-9f37-02e38948037b,273A57,sohamjadhav95,[IMAGE],FLAGGED,"Moderation Error: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'openai/gpt-oss-120b:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'OpenInference', 'is_byok': False}}, 'user_id': 'user_34jGP0gZslg4Sb8LLlzk81K8BjP'}","The image displays a brightly colored, abstract digital artwork filled with repeating patterns resembling stylized faces or masks. Visible text reads ""AI Generated"" in white across the center of the image. The overall tone is playful and visually striking, indicative of experimental digital art.",/media/image/2f339243-1465-4218-8fd0-6762101f2586.png,,2026-02-21 20:38:27,,,,,,,,,,,,,
a834685e-30c6-4acf-b440-74ed7391b631,994055,sohamjadhav95,[IMAGE],FLAGGED,Not related to company work or discussions.,"The image displays a digital graphic with repeating, stylized script characters resembling Tibetan or a similar Asian alphabet. The characters are arranged in dense rows, filling the entire frame with no discernible background. The overall tone is abstract and textural, focusing on the visual pattern of the script itself.",/media/image/54dea366-1e56-48ee-a7d8-1c9fc5b3b6e0.png,,2026-02-21 20:38:51,,,,,,,,,,,,,
50fcf4bc-da65-4cbe-8863-ff37d9937751,994055,sohamjadhav95,[IMAGE],FLAGGED,Off-topic: the message does not pertain to company‑related work or discussion.,"Here's a description of the image, focusing on factual observations:

The image displays a close-up of a textured, patterned surface dominated by repeating circular motifs. Several lines of text in a non-Latin script are visible, likely originating from a South Asian language, running vertically across the image. The overall tone is artistic and potentially religious or cultural, given the repeating symbols and script.",/media/image/7987f015-1363-4a40-b751-f38d871c26a9.png,,2026-02-21 20:39:33,,,,,,,,,,,,,
f5922915-aa1c-47de-9adb-c02ea0536365,273A57,sohamjadhav95,[IMAGE],PASS,,"The image is a flowchart illustrating the processes of ""Trying out a LLM"" and ""Enhancing the LLM."" It details sequential steps for each process, including initializing environments, downloading/training models, and data preparation/validation, with decision points and feedback loops indicated by arrows. The overall tone is technical and instructional, outlining a workflow for working with and improving Large Language Models.",/media/image/f871ea9c-26b6-4916-857a-a2d9a3e13fae.png,,2026-02-21 20:40:24,,,,,,,,,,,,,
